Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Tot_Submtd_Cvrd_Chrg,Tot_Pymt_Amt,Tot_Mdcr_Pymt_Amt,Tot_Dschrgs,Tot_Benes,Tot_Cvrd_Days,Tot_Days,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_Gt_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_API_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_Natind_Cnt,Bene_Race_Othr_Cnt,Bene_Dual_Cnt,Bene_Ndual_Cnt,Bene_CC_AF_Pct,Bene_CC_Alzhmr_Pct,Bene_CC_Asthma_Pct,Bene_CC_Cncr_Pct,Bene_CC_CHF_Pct,Bene_CC_CKD_Pct,Bene_CC_COPD_Pct,Bene_CC_Dprssn_Pct,Bene_CC_Dbts_Pct,Bene_CC_Hyplpdma_Pct,Bene_CC_Hyprtnsn_Pct,Bene_CC_IHD_Pct,Bene_CC_Opo_Pct,Bene_CC_RAOA_Pct,Bene_CC_Sz_Pct,Bene_CC_Strok_Pct,Bene_Avg_Risk_Scre
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,36301,AL,296212097,69393390,58711818,4795,3558,27432,28326,73.23327712,599,1178,1166,615,1835,1723,2861,627,,27,,29,975,2583,0.238617201,0.257166948,0.118605958,0.158234964,0.451096121,0.629848229,0.294547499,0.394884767,0.488476672,0.740865655,0.75,0.615795391,0.103991006,0.556773468,0.073917931,0.184373243,1.961657208
10005,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,2505 U S HIGHWAY 431 NORTH,BOAZ,35957,AL,45809644,20931404,17045842,1803,1465,10401,10788,74.03617747,236,463,492,274,807,658,1426,,,19,,11,406,1059,0.203412969,0.301023891,0.058703072,0.147440273,0.468259386,0.604778157,0.391808874,0.355631399,0.434129693,0.664846416,0.75,0.505802048,0.088054608,0.570648464,0.060068259,0.135153584,1.639455203
10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,35630,AL,202010746,46554813,38765053,3631,2777,20744,21252,74.95354699,384,904,909,580,1448,1329,2546,189,,15,,19,704,2073,0.251710479,0.298883687,0.101188333,0.150882247,0.46525027,0.614332013,0.418437162,0.429600288,0.469211379,0.75,0.75,0.615772416,0.124594887,0.574720922,0.045372704,0.151242348,1.909201452
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,36467,AL,8739301,5426065,4680320,491,381,2278,2319,75.60104987,54,119,114,94,228,153,352,25,,,,,126,255,0.225721785,0.335958005,0.076115486,0.128608924,0.482939633,0.577427822,0.393700787,0.367454068,0.435695538,0.572178478,0.75,0.49343832,0.083989501,0.54855643,0.133858268,0.110236221,1.59677036
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,36049,AL,3637664,1548858,1308750,153,124,731,745,75.40322581,20,31,38,35,71,53,104,16,,,,,50,74,0.225806452,0.427419355,0.088709677,0.080645161,0.467741936,0.701612903,0.39516129,0.35483871,0.427419355,0.620967742,0.75,0.508064516,0.112903226,0.475806452,0.120967742,0.096774194,1.609494072
10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,35235,AL,159681358,36698261,30802607,2475,1902,15361,15907,71.49369085,406,634,526,336,1018,884,1530,338,,12,,19,442,1460,0.223974763,0.302839117,0.101997897,0.114616194,0.433753943,0.695057834,0.30126183,0.424290221,0.463196635,0.689274448,0.75,0.564143007,0.076761304,0.442691903,0.11829653,0.141430074,2.023811119
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,35968,AL,52756385,7338865,6172011,643,518,3238,3371,73.69111969,84,173,182,79,296,222,504,,,,,,174,344,0.222007722,0.293436293,0.063706564,0.135135135,0.453667954,0.596525097,0.355212355,0.337837838,0.436293436,0.627413127,0.75,0.613899614,0.067567568,0.542471043,0.084942085,0.084942085,1.713251979
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,35007,AL,213151487,26613402,22167740,1848,1392,10422,11022,74.2816092,187,491,476,238,754,638,1236,123,,14,,15,224,1168,0.265086207,0.283764368,0.094827586,0.159482759,0.504310345,0.724856322,0.314655172,0.367097701,0.475574713,0.748563218,0.75,0.639367816,0.114942529,0.512212644,0.040948276,0.155890805,1.906534944
10018,UAB CALLAHAN EYE HOSPITAL AUTHORITY,"1720 UNIVERSITY BLVD, SUITE 500",BIRMINGHAM,35233,AL,684671,511731,177639,27,27,67,75,71.96296296,,16,,,,,25,,,,,,,,0.074074074,0.074074074,0.037037037,0.074074074,0.148148148,0.296296296,0.148148148,0.37037037,0.333333333,0.666666667,0.75,0.185185185,0.111111111,0.333333333,0.037037037,0,1.228815853
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,35660,AL,67087974,19093896,15393360,1903,1434,9527,9816,74.60181311,205,477,476,276,842,592,1305,111,,,,14,368,1066,0.215481172,0.273361227,0.071827057,0.161785216,0.393305439,0.59972106,0.389818689,0.380753138,0.488145049,0.75,0.75,0.483960948,0.112273361,0.613668061,0.036959554,0.113668061,1.840287198
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,36360,AL,8979489,4528521,3960488,336,273,1987,1994,70.55677656,72,70,77,54,145,128,209,54,,,,,95,178,0.21978022,0.311355311,0.080586081,0.146520147,0.424908425,0.663003663,0.399267399,0.490842491,0.468864469,0.6996337,0.75,0.545787546,0.098901099,0.494505495,0.15018315,0.047619048,1.648919284
10022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,35960,AL,3923368,1499622,1274927,190,165,908,924,60.92121212,,36,23,,56,109,129,33,,,,,91,74,0.109090909,0.133333333,0.054545455,0.078787879,0.309090909,0.412121212,0.375757576,0.575757576,0.272727273,0.509090909,0.75,0.418181818,0.066666667,0.387878788,0.218181818,0.060606061,1.397153565
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,36116,AL,210572516,60055453,46013581,3346,2595,22247,23859,72.47707129,526,843,725,501,1392,1203,1568,967,12,18,,,668,1927,0.22504817,0.285549133,0.086319846,0.139884393,0.480539499,0.6477842,0.269749518,0.280154143,0.47938343,0.74566474,0.75,0.603853565,0.101734104,0.463583815,0.055876686,0.199229287,2.224054717
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,36106,AL,154303869,34073120,27948107,2549,1942,15306,16135,72.96704428,378,639,536,389,954,988,1181,721,,12,,18,492,1450,0.172502575,0.298146241,0.078269825,0.157569516,0.42584964,0.646240989,0.29299691,0.270854789,0.496910402,0.693099897,0.75,0.594747683,0.075180227,0.55046344,0.058702369,0.121524202,2.202677368
